Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr),Player-additional,NFL_id
Cal Adomitis,LS,Pittsburgh,College Stats,6-2,235,4.97,29.5,18.0,107.0,7.53,4.62,,AdomCa00,4240719
Austin Allen,TE,Nebraska,College Stats,6-8,253,4.83,34.0,,121.0,7.0,4.26,,AlleAu00,N/A
Chase Allen,TE,Iowa St.,College Stats,6-6,251,,33.5,,117.0,7.03,4.43,,AlleCh03,2975680
Christopher Allen,EDGE,Alabama,College Stats,6-4,241,,,,,,,,AlleCh04,N/A
Tyler Allgeier,RB,BYU,College Stats,5-11,224,4.6,33.0,,120.0,,,Atlanta Falcons / 5th / 151st pick / 2022,AllgTy00,4373626
Troy Andersen,LB,Montana St.,,6-4,243,4.42,36.0,,128.0,,,Atlanta Falcons / 2nd / 58th pick / 2022,AndeTr00,4247807
Tycen Anderson,S,Toledo,College Stats,6-2,209,4.36,35.5,,123.0,6.64,4.28,Cincinnati Bengals / 5th / 166th pick / 2022,AndeTy00,4257240
Blaise Andries,OG,Minnesota,,6-6,308,5.1,30.5,,106.0,7.84,4.68,,-9999,N/A
Matt Araiza,P,San Diego St.,College Stats,6-1,200,4.68,32.0,,121.0,,,Buffalo Bills / 6th / 180th pick / 2022,AraiMa00,4361496
Jalyn Armour-Davis,CB,Alabama,College Stats,6-1,197,4.39,34.5,14.0,,,,Baltimore Ravens / 4th / 119th pick / 2022,ArmoJa00,4372017
Brian Asamoah,LB,Oklahoma,College Stats,6-0,226,4.56,36.5,,124.0,,,Minnesota Vikings / 3rd / 66th pick / 2022,AsamBr00,4360255
Calvin Austin,WR,Memphis,College Stats,5-8,170,4.32,39.0,,135.0,6.65,4.07,Pittsburgh Steelers / 4th / 138th pick / 2022,AustCa00,4243389
Tyler Badie,RB,Missouri,College Stats,5-8,197,4.45,33.5,,121.0,,,Baltimore Ravens / 6th / 196th pick / 2022,BadiTy00,4362748
Kalon Barnes,CB,Baylor,College Stats,6-0,183,4.23,,,,,,Carolina Panthers / 7th / 242nd pick / 2022,BarnKa00,N/A
Amaré Barno,EDGE,Virginia Tech,College Stats,6-5,246,4.36,37.0,,131.0,,4.45,Carolina Panthers / 6th / 189th pick / 2022,BarnAm00,4568439
Darrian Beavers,LB,Cincinnati,College Stats,6-4,237,,36.5,,125.0,6.91,,New York Giants / 6th / 182nd pick / 2022,BeavDa00,N/A
Markquese Bell,S,Florida A&M,,6-2,212,4.41,36.5,,123.0,,4.46,,-9999,4241921
David Bell,WR,Purdue,College Stats,6-1,212,4.65,33.0,,118.0,7.14,4.57,Cleveland Browns / 3rd / 99th pick / 2022,BellDa02,4570409
Greg Bell,RB,San Diego St.,College Stats,5-11,201,,31.0,17.0,120.0,,,,BellGr01,N/A
Daniel Bellinger,TE,San Diego St.,College Stats,6-5,253,4.63,34.5,22.0,125.0,7.05,4.47,New York Giants / 4th / 112th pick / 2022,BellDa00,4361516
Dane Belton,S,Iowa,College Stats,6-1,205,4.43,36.5,,123.0,7.01,4.24,New York Giants / 4th / 114th pick / 2022,BeltDa00,4426686
Terrel Bernard,LB,Baylor,College Stats,6-1,224,,35.5,22.0,123.0,7.03,4.25,Buffalo Bills / 3rd / 89th pick / 2022,BernTe00,4259166
Bubba Bolden,S,Miami,College Stats,6-2,209,4.47,,,116.0,,,,BoldBu00,N/A
Slade Bolden,WR,Alabama,College Stats,5-11,193,4.66,32.0,,116.0,,,,BoldSl00,N/A
Nik Bonitto,EDGE,Oklahoma,College Stats,6-3,248,4.54,35.5,,120.0,7.07,4.23,Denver Broncos / 2nd / 64th pick / 2022,BoniNi00,4360259
Thomas Booker,DT,Stanford,College Stats,6-3,301,4.94,,,110.0,7.33,4.41,Houston Texans / 5th / 150th pick / 2022,BookTh00,4360749
Andrew Booth,CB,Clemson,College Stats,6-0,194,,,,,,,Minnesota Vikings / 2nd / 42nd pick / 2022,BootAn00,4426344
Max Borghi,RB,Washington St.,College Stats,5-9,210,,,20.0,,,,,BorgMa00,N/A
Jaquan Brisker,S,Penn St.,College Stats,6-1,199,4.49,34.5,22.0,124.0,,,Chicago Bears / 2nd / 48th pick / 2022,BrisJa01,4570044
Gabe Brkic,K,Oklahoma,College Stats,6-2,197,,,,,,,,BrkiGa00,N/A
Kennedy Brooks,RB,Oklahoma,College Stats,5-11,209,4.59,31.0,,120.0,,,,BrooKe01,N/A
Ben Brown,C,Mississippi,College Stats,6-5,312,,,,,,,,BrowBe01,4362890
Leddie Brown,RB,West Virginia,College Stats,6-0,213,4.64,30.0,,118.0,,,,BrowLe03,N/A
Montaric Brown,CB,Arkansas,College Stats,6-0,196,4.55,,,,,,Jacksonville Jaguars / 7th / 222nd pick / 2022,BrowMo00,4242149
Logan Bruss,OG,Wisconsin,College Stats,6-5,309,5.32,31.0,,112.0,7.57,4.55,Los Angeles Rams / 3rd / 104th pick / 2022,BrusLo00,N/A
Coby Bryant,CB,Cincinnati,College Stats,6-1,193,4.54,,17.0,,,,Seattle Seahawks / 4th / 109th pick / 2022,BryaCo01,4239094
Spencer Burford,OG,Texas-San Antonio,College Stats,6-4,304,5.19,27.5,,105.0,,4.73,San Francisco 49ers / 4th / 134th pick / 2022,BurfSp00,4362999
Treylon Burks,WR,Arkansas,College Stats,6-2,225,4.55,33.0,,122.0,7.28,,Tennessee Titans / 1st / 18th pick / 2022,BurkTr00,4567156
Darien Butler,LB,Arizona St.,College Stats,5-10,221,,,,,7.47,,,ButlDa00,4360466
Matthew Butler,DT,Tennessee,College Stats,6-4,297,5.0,32.0,17.0,112.0,7.89,4.81,Las Vegas Raiders / 5th / 175th pick / 2022,ButlMa02,4242457
Percy Butler,S,Louisiana,College Stats,6-0,194,4.36,31.5,,123.0,,,Washington Commanders / 4th / 113th pick / 2022,ButlPe00,4363097
Grant Calcaterra,TE,SMU,College Stats,6-4,241,4.62,,20.0,,,,Philadelphia Eagles / 6th / 198th pick / 2022,CalcGr00,4241374
Jake Camarda,P,Georgia,College Stats,6-1,193,4.56,,,,,,Tampa Bay Buccaneers / 4th / 133rd pick / 2022,CamaJa00,4379396
Chance Campbell,LB,Mississippi,College Stats,6-2,232,4.57,39.5,,127.0,,,Tennessee Titans / 6th / 219th pick / 2022,CampCh02,4372051
Ja'Tyre Carter,OG,Southern,,6-3,311,5.13,30.0,,108.0,7.84,4.9,Chicago Bears / 7th / 226th pick / 2022,CartJa04,N/A
Zachary Carter,DE,Florida,College Stats,6-4,282,4.99,27.5,19.0,110.0,,,Cincinnati Bengals / 3rd / 95th pick / 2022,CartZa00,4240619
Tariq Castro-Fields,CB,Penn St.,College Stats,6-1,197,4.38,,,,,,San Francisco 49ers / 6th / 221st pick / 2022,CastTa00,4259590
Tykevious Chandler,RB,North Carolina,College Stats,5-11,204,4.38,31.0,,121.0,,,Minnesota Vikings / 5th / 169th pick / 2022,ChanTy01,N/A
Leo Chenal,LB,Wisconsin,College Stats,6-3,250,4.53,40.5,,128.0,,,Kansas City Chiefs / 3rd / 103rd pick / 2022,ChenLe00,4426901
Lewis Cine,S,Georgia,College Stats,6-2,199,4.37,36.5,,133.0,,,Minnesota Vikings / 1st / 32nd pick / 2022,CineLe00,4426536
Damone Clark,LB,LSU,College Stats,6-3,239,4.57,36.5,,127.0,7.12,,Dallas Cowboys / 5th / 176th pick / 2022,ClarDa02,4362636
Micheal Clemons,DE,Texas A&M,College Stats,6-5,263,,,24.0,116.0,,,New York Jets / 4th / 117th pick / 2022,ClemMi03,4240896
Jack Coan,QB,Notre Dame,College Stats,6-3,218,4.9,33.0,,115.0,6.95,4.39,,CoanJa00,N/A
Qwynnterrio Cole,S,Louisville,College Stats,6-0,206,,,16.0,,,,,-9999,N/A
Snoop Conner,RB,Mississippi,College Stats,5-10,222,4.59,29.5,25.0,118.0,,,Jacksonville Jaguars / 5th / 154th pick / 2022,ConnSn00,4567246
Bryan Cook,S,Cincinnati,College Stats,6-1,206,,,,,,,Kansas City Chiefs / 2nd / 62nd pick / 2022,CookBr02,4247726
James Cook,RB,Georgia,College Stats,5-11,199,4.42,33.0,,124.0,,,Buffalo Bills / 2nd / 63rd pick / 2022,CookJa01,4379399
Jashaun Corbin,RB,Florida St.,College Stats,5-11,202,,,,,,,,CorbJa01,4372519
Yusuf Corker,S,Kentucky,College Stats,6-0,203,,,23.0,,,,,CorkYu00,N/A
Matt Corral,QB,Mississippi,College Stats,6-2,212,,,,,,,Carolina Panthers / 3rd / 94th pick / 2022,CorrMa00,N/A
Charles Cross,OT,Mississippi St.,College Stats,6-5,307,4.95,26.0,,112.0,7.88,4.61,Seattle Seahawks / 1st / 9th pick / 2022,CrosCh00,N/A
Nick Cross,S,Maryland,College Stats,6-0,212,4.34,37.0,,130.0,,,Indianapolis Colts / 3rd / 96th pick / 2022,CrosNi00,4426403
Dustin Crum,QB,Kent St.,College Stats,6-1,210,4.75,32.5,,120.0,,4.36,,CrumDu00,N/A
Myron Cunningham,OT,Arkansas,College Stats,6-5,320,5.38,20.0,,98.0,8.5,5.16,,CunnMy00,N/A
DJ Davidson,DT,Arizona St.,College Stats,6-3,327,,28.0,23.0,,7.85,4.72,New York Giants / 5th / 147th pick / 2022,DaviDJ00,4242899
Jordan Davis,DT,Georgia,College Stats,6-6,341,4.78,32.0,,123.0,,,Philadelphia Eagles / 1st / 13th pick / 2022,DaviJo03,4381558
Kalia Davis,DT,Central Florida,College Stats,6-1,302,,,,,,,San Francisco 49ers / 6th / 220th pick / 2022,DaviKa01,4243541
Tyrion Davis-Price,RB,LSU,College Stats,6-0,211,4.48,30.0,,117.0,,,San Francisco 49ers / 3rd / 93rd pick / 2022,DaviTy03,4426475
Nakobe Dean,LB,Georgia,College Stats,5-11,229,,,,,,,Philadelphia Eagles / 3rd / 83rd pick / 2022,DeanNa00,4426340
Dawson Deaton,C,Texas Tech,College Stats,6-6,306,5.12,29.0,24.0,108.0,7.52,4.49,Cleveland Browns / 7th / 246th pick / 2022,DeatDa00,N/A
Austin Deculus,OT,LSU,College Stats,6-5,321,5.08,28.5,,109.0,,4.99,Houston Texans / 6th / 205th pick / 2022,DecuAu00,4242229
Cameron Dicker,K,Texas,College Stats,6-1,220,,,,,,,,DickCa00,4362081
Kellen Diesch,OT,Arizona St.,College Stats,6-7,301,4.89,32.5,,110.0,7.77,4.43,,DiesKe00,N/A
Dai'Jean Dixon,WR,Nicholls St.,,6-3,205,4.62,34.0,,125.0,7.28,4.42,,-9999,N/A
JoJo Domann,LB,Nebraska,College Stats,6-1,228,4.62,34.5,,119.0,,,,DomaJo00,4034841
Jahan Dotson,WR,Penn St.,College Stats,5-11,178,4.43,36.0,,121.0,7.28,,Washington Commanders / 1st / 16th pick / 2022,DotsJa00,4361409
Romeo Doubs,WR,Nevada,College Stats,6-2,201,,,,,,,Green Bay Packers / 4th / 132nd pick / 2022,DoubRo00,4361432
Dontario Drummond,WR,Mississippi,College Stats,6-1,215,4.65,34.0,,122.0,,,,DrumDo00,N/A
Greg Dulcich,TE,UCLA,College Stats,6-4,243,4.69,34.0,16.0,122.0,7.05,4.37,Denver Broncos / 3rd / 80th pick / 2022,DulcGr00,4367209
William Dunkle,OG,San Diego St.,College Stats,6-5,328,5.44,26.0,25.0,95.0,7.97,4.91,,DunkWi00,N/A
Cobie Durant,CB,South Carolina St.,,5-10,180,4.38,,,,,,Los Angeles Rams / 4th / 142nd pick / 2022,DuraDe01,4384549
Jerrion Ealy,RB,Mississippi,College Stats,5-8,189,4.52,34.5,,128.0,,,,EalyJe00,N/A
Arnold Ebiketie,EDGE,Penn St.,College Stats,6-2,250,,38.0,21.0,128.0,,,Atlanta Falcons / 2nd / 38th pick / 2022,EbikAr00,4257591
Trestan Ebner,RB,Baylor,College Stats,5-11,206,4.43,30.0,,,,,Chicago Bears / 6th / 203rd pick / 2022,EbneTr00,4259169
Ikem Ekwonu,OT,North Carolina St.,College Stats,6-4,310,4.93,29.0,,108.0,7.82,4.73,Carolina Panthers / 1st / 6th pick / 2022,EkwoIk00,4427132
Kaiir Elam,CB,Florida,College Stats,6-2,191,4.39,,,,,,Buffalo Bills / 1st / 23rd pick / 2022,ElamKa00,4567399
Kaleb Eleby,QB,Western Michigan,College Stats,6-1,208,,25.5,,111.0,7.57,,,ElebKa00,N/A
Noah Elliss,DT,Idaho,,6-4,346,5.66,,,,,,,-9999,N/A
Martin Emerson,CB,Mississippi St.,College Stats,6-2,201,4.53,,,,,,Cleveland Browns / 3rd / 68th pick / 2022,EmerMa00,4429568
Kingsley Enagbare,DE,South Carolina,College Stats,6-4,258,4.87,36.5,,117.0,,,Green Bay Packers / 5th / 179th pick / 2022,EnagKi00,4362840
Akayleb Evans,CB,Missouri,College Stats,6-2,197,4.46,36.0,,129.0,,,Minnesota Vikings / 4th / 118th pick / 2022,EvanAk00,4244607
Obinna Eze,OT,TCU,College Stats,6-7,321,5.17,27.5,18.0,104.0,8.2,5.08,,EzexOb00,N/A
Joshua Ezeudu,OG,North Carolina,College Stats,6-4,308,5.19,28.5,,105.0,7.83,4.56,New York Giants / 3rd / 67th pick / 2022,EzeuJo00,4373280
Erik Ezukanma,WR,Texas Tech,College Stats,6-2,209,,36.5,,126.0,,4.38,Miami Dolphins / 4th / 125th pick / 2022,EzukEr00,4362186
Daniel Faalele,OT,Minnesota,College Stats,6-8,384,,,24.0,,,,Baltimore Ravens / 4th / 110th pick / 2022,FaalDa00,N/A
Neil Farrell,DT,LSU,College Stats,6-4,330,5.41,21.5,,,8.41,,Las Vegas Raiders / 4th / 126th pick / 2022,FarrNe00,4242234
Jake Ferguson,TE,Wisconsin,College Stats,6-5,250,4.81,31.5,15.0,118.0,7.03,4.48,Dallas Cowboys / 4th / 129th pick / 2022,FergJa00,4242355
DaMarcus Fields,CB,Texas Tech,College Stats,6-0,193,4.48,34.5,,,,,,FielDa02,N/A
Cordale Flott,CB,LSU,College Stats,6-1,175,,,,,,,New York Giants / 3rd / 81st pick / 2022,FlotCo00,4429607
Jerome Ford,RB,Cincinnati,College Stats,5-11,210,4.46,31.0,,118.0,,,Cleveland Browns / 5th / 156th pick / 2022,FordJe00,4372019
Jonathan Ford,DT,Miami,College Stats,6-5,333,,29.0,,102.0,,,Green Bay Packers / 7th / 234th pick / 2022,FordJo00,4259762
Luke Fortner,C,Kentucky,College Stats,6-4,307,5.21,24.0,,102.0,7.75,4.95,Jacksonville Jaguars / 3rd / 65th pick / 2022,FortLu01,4035048
Ty Fryfogle,WR,Indiana,College Stats,6-1,204,4.53,39.0,,127.0,,,,FryfTy00,N/A
Ahmad Gardner,CB,Cincinnati,College Stats,6-3,190,4.41,,,,,,New York Jets / 1st / 4th pick / 2022,GardSa00,N/A
Haskell Garrett,DT,Ohio St.,College Stats,6-2,300,5.07,24.0,,,,,,GarrHa00,N/A
Jeremiah Gemmel,LB,North Carolina,College Stats,6-1,226,,,,,,,,GemmJe00,N/A
Trenton Gill,P,North Carolina St.,College Stats,6-4,220,,,,,,,Chicago Bears / 7th / 255th pick / 2022,GillTr01,4240128
Luke Goedeke,OG,Central Michigan,College Stats,6-5,312,,,26.0,,,,Tampa Bay Buccaneers / 2nd / 57th pick / 2022,GoedLu00,4380507
Mario Goodrich,CB,Clemson,College Stats,6-0,176,4.52,,,,,,,GoodMa02,4360318
Tyler Goodson,RB,Iowa,College Stats,5-9,197,4.42,36.5,,123.0,,,,GoodTy00,4429676
Kyler Gordon,CB,Washington,College Stats,6-0,194,4.52,,,,,,Chicago Bears / 2nd / 39th pick / 2022,GordKy00,4361093
Isaiah Graham-Mobley,LB,Boston Col.,College Stats,6-1,230,4.63,34.5,,124.0,,,,GrahIs00,N/A
Danny Gray,WR,SMU,College Stats,6-0,186,4.33,34.0,,126.0,,,San Francisco 49ers / 3rd / 105th pick / 2022,GrayDa02,4689546
Vincent Gray,CB,Michigan,College Stats,6-2,192,4.54,,,,,,,GrayVi00,4372074
Kenyon Green,OG,Texas A&M,College Stats,6-4,323,5.24,26.0,20.0,102.0,,5.12,Houston Texans / 1st / 15th pick / 2022,GreeKe03,4426327
Jeffrey Gunter,EDGE,Coastal Carolina,College Stats,6-4,258,4.7,35.5,,122.0,7.21,4.35,Cincinnati Bengals / 7th / 252nd pick / 2022,GuntJe01,N/A
Breece Hall,RB,Iowa St.,College Stats,5-11,217,4.39,40.0,,126.0,,,New York Jets / 2nd / 36th pick / 2022,HallBr03,4427366
Jeremiah Hall,TE,Oklahoma,College Stats,6-2,239,4.96,29.0,19.0,111.0,7.43,4.62,,HallJe00,N/A
Logan Hall,DE,Houston,College Stats,6-6,283,4.88,30.0,,,7.25,4.44,Tampa Bay Buccaneers / 2nd / 33rd pick / 2022,HallLo00,4360189
Kyle Hamilton,S,Notre Dame,College Stats,6-4,220,4.59,38.0,,131.0,6.9,4.32,Baltimore Ravens / 1st / 14th pick / 2022,HamiKy00,4575517
Jake Hansen,LB,Illinois,College Stats,6-1,238,,,21.0,,,,,HansJa02,4033812
Aaron Hansford,LB,Texas A&M,College Stats,6-2,239,,,24.0,,,,,HansAa00,N/A
Christian Harris,LB,Alabama,College Stats,6-1,226,4.44,34.5,,132.0,,,Houston Texans / 3rd / 75th pick / 2022,HarrCh06,4567099
Kevin Harris,RB,South Carolina,College Stats,5-10,221,,38.5,21.0,126.0,,,New England Patriots / 6th / 183rd pick / 2022,HarrKe01,4570674
Kolby Harvell-Peel,S,Oklahoma St.,College Stats,6-0,213,,,21.0,,,,,HarvKo00,N/A
Hassan Haskins,RB,Michigan,College Stats,6-2,228,,,27.0,,,,Tennessee Titans / 4th / 131st pick / 2022,HaskHa00,4372071
Blake Hayes,P,Illinois,College Stats,6-4,226,,,,,,,,HayeBl00,N/A
Marquis Hayes,OG,Oklahoma,College Stats,6-5,318,5.3,23.5,,102.0,,,Arizona Cardinals / 7th / 257th pick / 2022,HayeMa00,3115456
Peyton Hendershot,TE,Indiana,College Stats,6-4,250,4.8,32.5,,117.0,,4.25,,HendPe01,4258248
Connor Heyward,TE,Michigan St.,College Stats,5-11,233,4.72,32.5,,,,,Pittsburgh Steelers / 6th / 208th pick / 2022,HeywCo00,4241961
Daxton Hill,S,Michigan,College Stats,6-0,191,4.38,33.5,,121.0,6.57,4.06,Cincinnati Bengals / 1st / 31st pick / 2022,HillDa04,N/A
Chasen Hines,C,LSU,College Stats,6-3,327,5.22,30.5,,108.0,,,New England Patriots / 6th / 210th pick / 2022,HineCh00,N/A
Christopher Hinton,DT,Michigan,College Stats,6-4,305,5.28,31.5,,106.0,,,,HintCh01,4426583
Curtis Hodges,TE,Arizona St.,College Stats,6-8,257,4.85,34.5,,117.0,7.14,4.28,,HodgCu00,N/A
Sam Howell,QB,North Carolina,College Stats,6-1,218,,,,,,,Washington Commanders / 5th / 144th pick / 2022,HoweSa00,4426875
Aidan Hutchinson,DE,Michigan,College Stats,6-7,260,4.74,36.0,,117.0,6.73,4.15,Detroit Lions / 1st / 2nd pick / 2022,HutcAi00,4372099
Jermaine Johnson II,DE,Florida St.,College Stats,6-5,254,4.58,32.0,,125.0,,,New York Jets / 1st / 26th pick / 2022,JohnJe07,4567962
Johnny Johnson III,WR,Oregon,College Stats,6-0,197,4.6,32.0,,121.0,7.21,4.54,,JohnJo12,3046292
Verone McKinley III,S,Oregon,College Stats,5-10,198,,35.0,16.0,120.0,,,,McKiVe00,4360692
Ed Ingram,OG,LSU,College Stats,6-3,307,5.02,20.5,,102.0,7.81,4.76,Minnesota Vikings / 2nd / 59th pick / 2022,IngrEd00,4242227
Keaontay Ingram,RB,USC,College Stats,6-0,221,4.53,34.5,,122.0,,,Arizona Cardinals / 6th / 201st pick / 2022,IngrKe01,4362087
D'Marco Jackson,LB,Appalachian St.,College Stats,6-1,233,4.55,33.0,,125.0,,,New Orleans Saints / 5th / 161st pick / 2022,JackDM00,4241007
Drake Jackson,EDGE,USC,College Stats,6-3,254,,36.5,,127.0,,,San Francisco 49ers / 2nd / 61st pick / 2022,JackDr01,4569511
Jordan Jackson,DT,Air Force,College Stats,6-5,294,,,,,,,New Orleans Saints / 6th / 194th pick / 2022,JackJo06,4261090
Joshua Jobe,CB,Alabama,College Stats,6-0,182,,,,,,,,JobeJo00,N/A
Josh Johnson,WR,Tulsa,College Stats,5-11,183,,,14.0,,,,,JohnJo13,4390717
Tyree Johnson,EDGE,Texas A&M,College Stats,6-3,248,,,21.0,,,,,JohnTy04,N/A
Zion Johnson,OG,Boston Col.,College Stats,6-3,312,5.18,32.0,32.0,112.0,7.38,4.46,Los Angeles Chargers / 1st / 17th pick / 2022,JohnZi00,N/A
Braxton Jones,OT,Southern Utah St.,,6-5,310,4.97,25.5,,108.0,,4.84,Chicago Bears / 5th / 168th pick / 2022,JoneBr08,4251007
Jack Jones,CB,Arizona St.,College Stats,5-11,171,4.51,,,,,,New England Patriots / 4th / 121st pick / 2022,JoneJa10,4035686
Marcus Jones,CB,Houston,College Stats,5-8,174,,,,,,,New England Patriots / 3rd / 85th pick / 2022,JoneMa06,4241720
Travis Jones,DT,Connecticut,College Stats,6-4,325,4.92,28.5,,110.0,7.33,4.58,Baltimore Ravens / 3rd / 76th pick / 2022,JoneTr00,4362139
Velus Jones,WR,Tennessee,College Stats,6-0,204,4.31,33.0,,121.0,,,Chicago Bears / 3rd / 71st pick / 2022,JoneVe00,4035693
Kerby Joseph,S,Illinois,College Stats,6-1,203,,38.5,18.0,123.0,,,Detroit Lions / 3rd / 97th pick / 2022,JoseKe03,4360383
Kevin Austin Jr.,WR,Notre Dame,College Stats,6-2,200,4.43,39.0,,132.0,6.71,4.15,,AustKe00,4372758
Reggie Roberson Jr.,WR,SMU,College Stats,5-11,192,,29.0,,114.0,,,,RobeRe00,N/A
Cameron Jurgens,C,Nebraska,College Stats,6-3,303,4.92,,25.0,,,,Philadelphia Eagles / 2nd / 51st pick / 2022,JurgCa01,N/A
George Karlaftis,EDGE,Purdue,College Stats,6-4,266,,38.0,21.0,121.0,,4.36,Kansas City Chiefs / 1st / 30th pick / 2022,KarlGe00,4426659
Cole Kelley,QB,Southeastern Louisiana,,6-7,249,,,,,,,,-9999,N/A
Derion Kendrick,CB,Georgia,College Stats,6-0,194,,,,,,,Los Angeles Rams / 6th / 212th pick / 2022,KendDe00,4360307
D'Eriq King,QB,Miami,College Stats,5-9,196,,,,,,,,KingDE02,N/A
Darian Kinnard,OG,Kentucky,College Stats,6-5,322,5.31,25.0,,99.0,8.11,4.96,Kansas City Chiefs / 5th / 145th pick / 2022,KinnDa00,N/A
Zonovan Knight,RB,North Carolina St.,College Stats,5-11,209,4.58,31.0,,114.0,,,,KnigZo00,N/A
Charlie Kolar,TE,Iowa St.,College Stats,6-7,252,,,,,,,Baltimore Ravens / 4th / 128th pick / 2022,KolaCh00,4241263
